                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3068,                 4.9463,                 3.9088,                  3e-05,                0.00428,                  2e-05,                      0,                 5.0509,                 5.4611,                 4.1899,             0.00065517,             0.00065517,             0.00065517
                      2,                  2.901,                 2.6938,                 2.5859,                0.25387,                0.22484,                0.15223,                0.05393,                 2.8088,                 2.4622,                 2.9778,              0.0013088,              0.0013088,              0.0013088
                      3,                 2.4591,                 2.0976,                 2.1406,                 0.5573,                0.51178,                0.48924,                0.19957,                 2.1611,                 1.8975,                 2.1209,              0.0019491,              0.0019491,              0.0019491
                      4,                  2.241,                 1.8242,                 1.9407,                0.70552,                0.49036,                 0.6034,                0.25101,                 1.9063,                 1.5888,                 1.8634,              0.0019406,              0.0019406,              0.0019406
                      5,                   2.08,                 1.6561,                 1.7612,                 0.6117,                0.54647,                0.58136,                0.19731,                 2.0389,                  1.581,                 1.8671,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0261,                 1.5405,                 1.7163,                0.68653,                0.60171,                0.66044,                0.26641,                   1.89,                 1.4031,                 1.7402,               0.001901,               0.001901,               0.001901
                      7,                  1.971,                 1.4509,                 1.6724,                0.74124,                0.64407,                0.71684,                0.28178,                 1.8674,                 1.2972,                 1.6934,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9083,                 1.3671,                 1.6147,                0.74503,                0.70705,                0.77844,                0.36654,                 1.7115,                 1.2161,                 1.6136,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.828,                 1.3173,                 1.6042,                0.83641,                0.71306,                0.79217,                0.36972,                 1.7718,                 1.2087,                 1.6073,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8035,                 1.3118,                 1.5619,                0.84648,                0.69165,                0.79781,                0.42185,                 1.6454,                 1.1762,                 1.5902,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7718,                 1.2292,                 1.5169,                0.84862,                0.68424,                0.79939,                 0.4179,                 1.6562,                 1.1702,                 1.5599,               0.001802,               0.001802,               0.001802
                     12,                 1.7532,                 1.1962,                 1.5126,                0.83248,                0.74946,                0.83025,                0.45469,                 1.5597,                 1.0874,                 1.4989,              0.0017822,              0.0017822,              0.0017822
